"Category","Test","Metric","Value","Unit","Status","Target"
"Render","SplashScreen","Render Time","405","ms","FAILED","100ms"
"Render","MessageScreen","Render Time","808","ms","FAILED","250ms"
"Render","ChatScreen","Render Time","831","ms","FAILED","300ms"
"Render","MyProfileScreen","Render Time","521","ms","FAILED","200ms"
"Scroll","MessageScreen","Scroll Average Idle","11.1","ms","FAILED","10ms"
"Scroll","ChatScreen","Scroll Average Idle","11.1","ms","FAILED","10ms"
"Scroll","HomeScreen","Render Time (Swipe)","2212","ms","FAILED","2000ms"
"Frame Rate","Scroll","Frame Rate (FPS)","46.5983224603914","FPS","FAILED","50 FPS"
"Touch","Click Response","Average Time","61.9","ms","FAILED","50ms"
"Touch","Touch Latency","Average Latency","33.6333333333333","ms","FAILED","16ms"
